,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,train,YearsOld,YearSinceRemodel,YearSinceGarageBlt,YrSold-Month,BsmtBath,Bath,Basement,BsmtScore,TotalSF,SF_score,OverallQual_exp,YearsOld_log,YearSinceGarageBlt_log,YearSinceRemodel_log
10,11,20,RL,70.0,11200,Pave,No_alley,0,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,1,3,906.0,1,0.0,134.0,1040.0,GasA,5,1,SBrkr,1040,0,0,1040,3,1,3,5,7,0,0,Detchd,1,1.0,384.0,3,3,2,0,0,0,0,0,0,0,No_fence,No_miscFeature,0,2,2008,WD,Normal,1,43,43,43,2008-2,1.0,1.0,1,85.05878342077482,2080.0,1820.0,11.182493960703473,3.844135561911765,3.844135561911765,3.844135561911765
11,12,60,RL,85.0,11924,Pave,No_alley,1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,5,3,PConc,5,3,1,6,998.0,1,0.0,177.0,1175.0,GasA,5,1,SBrkr,1182,1142,0,2324,4,1,5,11,7,2,4,BuiltIn,3,3.0,736.0,3,3,2,147,21,0,0,0,0,0,No_fence,No_miscFeature,0,7,2006,New,Partial,1,1,0,1,2006-7,1.0,3.0,1,132.53757648052868,3499.0,3205.25,89.01713130052181,1.551444713932051,1.551444713932051,1.3132616875182228
12,13,20,RL,83.70067069384649,12968,Pave,No_alley,1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,Hip,CompShg,HdBoard,Plywood,None,0.0,3,3,CBlock,3,3,1,5,737.0,1,0.0,175.0,912.0,GasA,3,1,SBrkr,912,0,0,912,2,1,3,4,7,0,0,Detchd,1,1.0,352.0,3,3,2,140,0,0,0,176,0,0,No_fence,No_miscFeature,0,9,2008,WD,Normal,1,46,46,46,2008-9,1.0,1.0,1,93.6105265006265,1824.0,1596.0,11.182493960703473,3.9063727090956677,3.9063727090956677,3.9063727090956677
13,14,20,RL,91.0,10652,Pave,No_alley,1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,4,3,PConc,4,3,3,1,0.0,1,0.0,1494.0,1494.0,GasA,5,1,SBrkr,1494,0,0,1494,3,1,4,7,7,1,4,Attchd,2,3.0,840.0,3,3,2,160,33,0,0,0,0,0,No_fence,No_miscFeature,0,8,2007,New,Partial,1,1,0,1,2007-8,0.0,2.0,1,98.68340005863462,2988.0,2614.5,32.11545195869231,1.551444713932051,1.551444713932051,1.3132616875182228
14,15,20,RL,78.83313194629737,10920,Pave,No_alley,1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,3,3,CBlock,3,3,1,4,733.0,1,0.0,520.0,1253.0,GasA,3,1,SBrkr,1253,0,0,1253,2,1,3,5,7,1,2,Attchd,2,1.0,352.0,3,3,2,0,213,176,0,0,0,0,GdWo,No_miscFeature,0,5,2008,WD,Normal,1,48,48,48,2008-5,1.0,1.5,1,87.42823314906389,2506.0,2192.75,19.085536923187668,3.9458113327110627,3.9458113327110627,3.9458113327110627
15,16,45,RM,51.0,6120,Pave,No_alley,0,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3,3,1,1,0.0,1,0.0,832.0,832.0,GasA,5,1,FuseA,854,0,0,854,2,1,3,5,7,0,0,Detchd,1,2.0,576.0,3,3,2,48,112,0,0,0,0,0,GdPrv,No_miscFeature,0,7,2007,WD,Normal,1,78,6,16,2007-7,0.0,1.0,1,70.61285324275185,1686.0,1478.0,32.11545195869231,4.4032777446238756,2.981546217004304,2.2740088362278477
16,17,20,RL,60.91432162193466,11241,Pave,No_alley,1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,3,3,CBlock,3,3,1,5,578.0,1,0.0,426.0,1004.0,GasA,5,1,SBrkr,1004,0,0,1004,2,1,3,5,7,1,3,Attchd,3,2.0,480.0,3,3,2,0,0,0,0,0,0,0,No_fence,Shed,700,3,2010,WD,Normal,1,40,40,40,2010-3,1.0,1.0,1,88.50238666794749,2008.0,1757.0,19.085536923187668,3.7777663630955423,3.7777663630955423,3.7777663630955423
17,18,90,RL,72.0,10791,Pave,No_alley,0,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,Slab,0,0,0,0,0.0,0,0.0,0.0,0.0,GasA,3,1,SBrkr,1296,0,0,1296,2,2,3,6,7,0,0,CarPort,1,2.0,516.0,3,3,2,0,0,0,0,0,0,0,No_fence,Shed,500,10,2006,WD,Normal,1,39,39,39,2006-10,0.0,2.0,0,0.0,1296.0,1296.0,6.38905609893065,3.754626974471842,3.754626974471842,3.754626974471842
18,19,20,RL,66.0,13695,Pave,No_alley,0,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,3,3,1,6,646.0,1,0.0,468.0,1114.0,GasA,5,1,SBrkr,1114,0,0,1114,3,1,4,6,7,0,0,Detchd,1,2.0,576.0,3,3,2,0,102,0,0,0,0,0,No_fence,No_miscFeature,0,6,2008,WD,Normal,1,4,4,4,2008-6,1.0,1.5,1,94.01879062072622,2228.0,1949.5,11.182493960703473,2.0435917781858577,2.0435917781858577,2.0435917781858577
19,20,20,RL,70.0,7560,Pave,No_alley,0,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,Hip,CompShg,BrkFace,Plywood,None,0.0,3,3,CBlock,3,3,1,2,504.0,1,0.0,525.0,1029.0,GasA,3,1,SBrkr,1339,0,0,1339,3,1,3,6,6,0,0,Attchd,1,1.0,294.0,3,3,2,0,0,0,0,0,0,0,MnPrv,No_miscFeature,0,5,2009,COD,Abnorml,1,51,44,51,2009-5,0.0,1.0,1,76.23966597426433,2368.0,2110.75,11.182493960703473,4.002197873487609,4.002197873487609,3.865314591310325
20,21,60,RL,101.0,14215,Pave,No_alley,1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,4,3,PConc,5,3,3,1,0.0,1,0.0,1158.0,1158.0,GasA,5,1,SBrkr,1158,1218,0,2376,4,1,4,9,7,1,4,BuiltIn,2,3.0,853.0,3,3,2,240,154,0,0,0,0,0,No_fence,No_miscFeature,0,11,2006,New,Partial,1,1,0,1,2006-11,0.0,3.5,1,109.35734907176615,3534.0,3244.5,53.598150033144236,1.551444713932051,1.551444713932051,1.3132616875182228
21,22,45,RM,57.0,7449,Pave,Grvl,0,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,PConc,3,3,1,1,0.0,1,0.0,637.0,637.0,GasA,5,1,FuseF,1108,0,0,1108,3,1,4,6,7,1,4,Attchd,1,1.0,280.0,3,3,0,0,0,205,0,0,0,0,GdPrv,No_miscFeature,0,6,2007,WD,Normal,1,77,77,77,2007-6,0.0,1.0,1,67.81255197512029,1745.0,1585.75,32.11545195869231,4.390965090244717,4.390965090244717,4.390965090244717
22,23,20,RL,75.0,9742,Pave,No_alley,0,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,4,3,PConc,4,3,1,1,0.0,1,0.0,1777.0,1777.0,GasA,5,1,SBrkr,1795,0,0,1795,3,1,4,7,7,1,4,Attchd,2,2.0,534.0,3,3,2,171,159,0,0,0,0,0,No_fence,No_miscFeature,0,9,2008,WD,Normal,1,6,6,6,2008-9,0.0,2.0,1,93.54055520092312,3572.0,3127.75,53.598150033144236,2.2740088362278477,2.2740088362278477,2.2740088362278477
23,24,120,RM,44.0,4224,Pave,No_alley,0,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,3,PConc,4,3,1,6,840.0,1,0.0,200.0,1040.0,GasA,3,1,SBrkr,1060,0,0,1060,3,1,3,6,7,1,3,Attchd,1,2.0,572.0,3,3,2,100,110,0,0,0,0,0,No_fence,No_miscFeature,0,6,2007,WD,Normal,1,31,31,31,2007-6,1.0,1.0,1,114.9081899809399,2100.0,1840.0,11.182493960703473,3.547266402060136,3.547266402060136,3.547266402060136
24,25,20,RL,44.61518529627924,8246,Pave,No_alley,1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,Gable,CompShg,Plywood,Plywood,None,0.0,3,4,CBlock,3,3,2,3,188.0,5,668.0,204.0,1060.0,GasA,5,1,SBrkr,1060,0,0,1060,3,1,4,6,7,1,3,Attchd,1,1.0,270.0,3,3,2,406,90,0,0,0,0,0,MnPrv,No_miscFeature,0,5,2010,WD,Normal,1,42,9,42,2010-5,1.0,1.0,1,96.66995535352308,2120.0,1855.0,11.182493960703473,3.8224982579155324,3.8224982579155324,2.5430404724093343
25,26,20,RL,110.0,14230,Pave,No_alley,0,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,4,3,PConc,4,3,1,1,0.0,1,0.0,1566.0,1566.0,GasA,5,1,SBrkr,1600,0,0,1600,3,1,4,7,7,1,4,Attchd,2,3.0,890.0,3,3,2,0,56,0,0,0,0,0,No_fence,No_miscFeature,0,7,2009,WD,Normal,1,2,2,2,2009-7,0.0,2.0,1,91.96147802945026,3166.0,2774.5,53.598150033144236,1.743668380628679,1.743668380628679,1.743668380628679
26,27,20,RL,60.0,7200,Pave,No_alley,0,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,2,4,234.0,3,486.0,180.0,900.0,GasA,3,1,SBrkr,900,0,0,900,3,1,4,5,7,0,0,Detchd,1,2.0,576.0,3,3,2,222,32,0,0,0,0,0,No_fence,No_miscFeature,0,5,2010,WD,Normal,1,59,10,5,2010-5,0.5,1.0,1,87.49307761284322,1800.0,1575.0,11.182493960703473,4.138652981350261,2.1654221804855953,2.6187293832937852
27,28,20,RL,98.0,11478,Pave,No_alley,0,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,4,3,PConc,5,3,1,6,1218.0,1,0.0,486.0,1704.0,GasA,5,1,SBrkr,1704,0,0,1704,3,1,4,7,7,1,4,Attchd,2,3.0,772.0,3,3,2,0,50,0,0,0,0,0,No_fence,No_miscFeature,0,5,2010,WD,Normal,1,3,2,2,2010-5,1.0,2.0,1,134.49400549443848,3408.0,2982.0,53.598150033144236,1.904832441554448,1.743668380628679,1.743668380628679
28,29,20,RL,47.0,16321,Pave,No_alley,1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,3,3,4,4,1277.0,1,0.0,207.0,1484.0,GasA,3,1,SBrkr,1600,0,0,1600,2,1,3,6,7,2,4,Attchd,2,1.0,319.0,3,3,2,288,258,0,0,0,0,0,No_fence,No_miscFeature,0,12,2006,WD,Normal,1,49,9,49,2006-12,1.0,1.0,1,106.49143985088486,3084.0,2713.0,11.182493960703473,3.964962299155944,3.964962299155944,2.5430404724093343
29,30,30,RM,60.0,6324,Pave,No_alley,1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3,3,1,1,0.0,1,0.0,520.0,520.0,GasA,2,0,SBrkr,520,0,0,520,1,1,2,4,7,0,0,Detchd,1,1.0,240.0,2,3,2,49,0,87,0,0,0,0,No_fence,No_miscFeature,0,5,2008,WD,Normal,1,81,81,88,2008-5,0.0,1.0,1,65.68537543841035,1040.0,910.0,6.38905609893065,4.439331420498014,4.518721725023783,4.439331420498014
30,31,70,C (all),50.0,8500,Pave,Pave,0,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,Gambrel,CompShg,BrkFace,BrkFace,None,0.0,3,2,BrkTil,3,3,1,1,0.0,1,0.0,649.0,649.0,GasA,3,0,SBrkr,649,668,0,1317,3,1,3,6,7,0,0,Detchd,1,1.0,250.0,3,2,0,0,54,172,0,0,0,0,MnPrv,No_miscFeature,0,7,2008,WD,Normal,1,88,88,88,2008-7,0.0,1.0,1,68.00820981034167,1966.0,1803.75,6.38905609893065,4.518721725023783,4.518721725023783,4.518721725023783
31,32,20,RL,61.11992614520403,8544,Pave,No_alley,1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,1,1,0.0,1,0.0,1228.0,1228.0,GasA,4,1,SBrkr,1228,0,0,1228,3,1,4,6,7,0,0,Attchd,1,1.0,271.0,3,3,2,0,65,0,0,0,0,0,MnPrv,No_miscFeature,0,6,2008,WD,Normal,1,42,2,42,2008-6,0.0,1.5,1,74.69653915044336,2456.0,2149.0,11.182493960703473,3.8224982579155324,3.8224982579155324,1.743668380628679
32,33,20,RL,85.0,11049,Pave,No_alley,0,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,5,3,3,1,0.0,1,0.0,1234.0,1234.0,GasA,5,1,SBrkr,1234,0,0,1234,3,1,4,7,7,0,0,Attchd,2,2.0,484.0,3,3,2,0,30,0,0,0,0,0,No_fence,No_miscFeature,0,1,2008,WD,Normal,1,1,1,1,2008-1,0.0,2.0,1,110.34180686046221,2468.0,2159.5,53.598150033144236,1.551444713932051,1.551444713932051,1.551444713932051
33,34,20,RL,70.0,10552,Pave,No_alley,1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,Hip,CompShg,BrkFace,BrkFace,None,0.0,3,3,CBlock,3,3,1,3,1018.0,1,0.0,380.0,1398.0,GasA,4,1,SBrkr,1700,0,0,1700,4,1,4,6,7,1,4,Attchd,2,2.0,447.0,3,3,2,0,38,0,0,0,0,0,No_fence,No_miscFeature,0,4,2010,WD,Normal,1,51,51,51,2010-4,0.5,1.5,1,86.60609397105402,3098.0,2748.5,11.182493960703473,4.002197873487609,4.002197873487609,4.002197873487609
34,35,120,RL,60.0,7313,Pave,No_alley,0,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,5,3,PConc,5,3,1,6,1153.0,1,0.0,408.0,1561.0,GasA,5,1,SBrkr,1561,0,0,1561,2,1,5,6,7,1,4,Attchd,3,2.0,556.0,3,3,2,203,47,0,0,0,0,0,No_fence,No_miscFeature,0,8,2007,WD,Normal,1,2,2,2,2007-8,1.0,2.0,1,133.78733973234102,3122.0,2731.75,89.01713130052181,1.743668380628679,1.743668380628679,1.743668380628679
35,36,60,RL,108.0,13418,Pave,No_alley,0,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,4,3,PConc,5,3,3,1,0.0,1,0.0,1117.0,1117.0,GasA,5,1,SBrkr,1132,1320,0,2452,4,1,4,9,7,1,4,BuiltIn,3,3.0,691.0,3,3,2,113,32,0,0,0,0,0,No_fence,No_miscFeature,0,9,2006,WD,Normal,1,2,1,2,2006-9,0.0,3.5,1,108.7990981325832,3569.0,3289.75,53.598150033144236,1.743668380628679,1.743668380628679,1.551444713932051
36,37,20,RL,112.0,10859,Pave,No_alley,0,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,1,1,0.0,1,0.0,1097.0,1097.0,GasA,5,1,SBrkr,1097,0,0,1097,3,1,3,6,7,0,0,Attchd,1,2.0,672.0,3,3,2,392,64,0,0,0,0,0,No_fence,No_miscFeature,0,6,2009,WD,Normal,1,15,14,14,2009-6,0.0,1.5,1,87.51557027586844,2194.0,1919.75,11.182493960703473,2.929500684169373,2.874596978199212,2.874596978199212
37,38,20,RL,74.0,8532,Pave,No_alley,0,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,3,3,CBlock,3,3,1,3,1213.0,1,0.0,84.0,1297.0,GasA,4,1,SBrkr,1297,0,0,1297,3,1,3,5,7,1,3,Attchd,3,2.0,498.0,3,3,2,0,0,0,0,0,0,0,No_fence,No_miscFeature,0,10,2009,WD,Normal,1,55,19,55,2009-10,0.5,1.0,1,88.67870482779708,2594.0,2269.75,11.182493960703473,4.07275112346364,4.07275112346364,3.1231699672459294
38,39,20,RL,68.0,7922,Pave,No_alley,0,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3,3,1,6,731.0,1,0.0,326.0,1057.0,GasA,3,1,SBrkr,1057,0,0,1057,3,1,4,5,7,0,0,Detchd,1,1.0,246.0,3,3,2,0,52,0,0,0,0,0,No_fence,No_miscFeature,0,1,2010,WD,Abnorml,1,57,3,57,2010-1,1.0,1.0,1,97.20470648799676,2114.0,1849.75,11.182493960703473,4.106244836054261,4.106244836054261,1.904832441554448
39,40,90,RL,65.0,6040,Pave,No_alley,0,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,Gable,CompShg,AsbShng,Plywood,None,0.0,3,3,PConc,0,0,0,0,0.0,0,0.0,0.0,0.0,GasA,3,0,FuseP,1152,0,0,1152,2,2,2,6,7,0,0,No_garage,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,No_fence,No_miscFeature,0,6,2008,WD,AdjLand,1,53,53,136,2008-6,0.0,2.0,0,0.0,1152.0,1152.0,6.38905609893065,4.038096589601075,4.939628122614659,4.038096589601075
